"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"08.11.2022","52,1100","52,5000","52,5800","51,8900","642,00K","-1,64%"
"07.11.2022","52,9800","52,5000","53,4100","51,3700","3,52M","0,51%"
"04.11.2022","52,7100","51,8000","52,9400","50,5200","2,92M","2,83%"
"03.11.2022","51,2600","54,0000","54,5800","50,7300","7,39M","-6,87%"
"02.11.2022","55,0400","54,7000","55,1900","52,6600","3,38M","0,47%"
"01.11.2022","54,7800","53,7000","56,7400","53,5300","5,40M","3,03%"
"31.10.2022","53,1700","53,0800","53,2000","50,6900","5,01M","0,42%"
"28.10.2022","52,9500","53,4400","53,9500","52,1100","3,06M","-1,62%"
"27.10.2022","53,8200","55,1000","55,2600","52,6400","3,25M","-2,15%"
"26.10.2022","55,0000","53,6000","55,6300","52,5500","3,60M","1,10%"
"25.10.2022","54,4000","51,3000","54,7000","51,2200","4,98M","6,04%"
"24.10.2022","51,3000","52,5900","53,0000","50,2600","4,31M","-1,35%"
"21.10.2022","52,0000","53,6300","56,2700","51,7800","6,92M","-4,92%"
"20.10.2022","54,6900","55,0000","55,1400","51,0600","7,52M","-1,28%"
"19.10.2022","55,4000","61,0000","61,0000","55,4000","6,42M","-8,72%"
"18.10.2022","60,6900","60,8000","62,8100","60,3500","2,19M","0,38%"
"17.10.2022","60,4600","60,1900","60,9000","59,6500","2,10M","0,27%"
"14.10.2022","60,3000","60,5000","62,0000","59,5600","2,52M","1,41%"
"13.10.2022","59,4600","58,4100","59,9800","57,5000","2,15M","1,80%"
"12.10.2022","58,4100","58,9800","59,7900","57,2200","2,90M","-0,97%"
"11.10.2022","58,9800","62,4000","62,4000","58,7600","2,60M","-5,63%"
"10.10.2022","62,5000","61,2300","62,9800","60,0000","1,61M","1,07%"
"07.10.2022","61,8400","61,2000","63,2500","60,5300","2,48M","1,14%"
"06.10.2022","61,1400","59,4200","61,4900","59,0000","3,61M","3,03%"
"05.10.2022","59,3400","66,7500","66,8400","59,0000","4,46M","-11,39%"
