"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"29.09.2022","99,95","99,95","99,95","99,95","-0,03%"
"28.09.2022","99,98","99,98","99,98","99,98","0,08%"
"27.09.2022","99,90","99,90","99,90","99,90","0,59%"
"26.09.2022","99,31","99,31","99,31","99,31","-0,49%"
"23.09.2022","99,80","99,80","99,80","99,80","0,04%"
"22.09.2022","99,76","99,76","99,76","99,76","0,06%"
"21.09.2022","99,70","99,70","99,70","99,70","-0,25%"
"20.09.2022","99,95","99,95","99,95","99,95","-0,03%"
"19.09.2022","99,98","99,98","99,98","99,98","0,02%"
"16.09.2022","99,96","99,96","99,96","99,96","0,01%"
"15.09.2022","99,95","99,95","99,95","99,95","0,01%"
"14.09.2022","99,94","99,94","99,94","99,94","-0,01%"
"13.09.2022","99,95","99,95","99,95","99,95","0,00%"
"12.09.2022","99,95","99,95","99,95","99,95","0,01%"
"09.09.2022","99,94","99,94","99,94","99,94","-0,04%"
"08.09.2022","99,98","99,98","99,98","99,98","0,03%"
"07.09.2022","99,95","99,95","99,95","99,95","0,00%"
"06.09.2022","99,95","99,95","99,95","99,95","0,01%"
"05.09.2022","99,94","99,94","99,94","99,94","0,02%"
"02.09.2022","99,92","99,92","99,92","99,92","-0,03%"
"01.09.2022","99,95","99,95","99,95","99,95","0,09%"
"31.08.2022","99,86","99,86","99,86","99,86","-0,05%"
"30.08.2022","99,91","99,91","99,91","99,91","0,01%"
"29.08.2022","99,90","99,90","99,90","99,90","-0,01%"
"26.08.2022","99,91","99,91","99,91","99,91","-0,04%"
"25.08.2022","99,95","99,95","99,95","99,95","0,00%"
"24.08.2022","99,95","99,95","99,95","99,95","0,01%"
"23.08.2022","99,94","99,94","99,94","99,94","0,02%"
"22.08.2022","99,92","99,92","99,92","99,92","-0,04%"
"19.08.2022","99,96","99,96","99,96","99,96","0,06%"
"18.08.2022","99,90","99,90","99,90","99,90","-0,04%"
"17.08.2022","99,94","99,94","99,94","99,94","-0,03%"
"16.08.2022","99,97","99,97","99,97","99,97","0,00%"
"15.08.2022","99,97","99,97","99,97","99,97","0,00%"
"12.08.2022","99,97","99,97","99,97","99,97","0,09%"
"11.08.2022","99,88","99,88","99,88","99,88","-0,01%"
"10.08.2022","99,89","99,89","99,89","99,89","-0,07%"
"09.08.2022","99,96","99,96","99,96","99,96","-0,01%"
"08.08.2022","99,97","99,97","99,97","99,97","0,03%"
"05.08.2022","99,94","99,94","99,94","99,94","0,03%"
"04.08.2022","99,91","99,91","99,91","99,91","-0,03%"
"03.08.2022","99,94","99,94","99,94","99,94","-0,05%"
"02.08.2022","99,99","99,99","99,99","99,99","0,08%"
"01.08.2022","99,91","99,91","99,91","99,91","-0,08%"
"29.07.2022","99,99","99,99","99,99","99,99","0,10%"
"28.07.2022","99,89","99,89","99,89","99,89","0,02%"
"27.07.2022","99,87","99,87","99,87","99,87","-0,03%"
"26.07.2022","99,90","99,90","99,90","99,90","0,01%"
"25.07.2022","99,89","99,89","99,89","99,89","0,00%"
"22.07.2022","99,89","99,89","99,89","99,89","0,11%"
"21.07.2022","99,78","99,78","99,78","99,78","0,22%"
"20.07.2022","99,56","99,56","99,56","99,56","-0,14%"
"19.07.2022","99,70","99,70","99,70","99,70","-0,06%"
"18.07.2022","99,76","99,76","99,76","99,76","0,04%"
"15.07.2022","99,72","99,72","99,72","99,72","0,09%"
"14.07.2022","99,63","99,63","99,63","99,63","-0,07%"
"13.07.2022","99,70","99,70","99,70","99,70","0,03%"
"12.07.2022","99,67","99,67","99,67","99,67","0,03%"
"11.07.2022","99,64","99,64","99,64","99,64","-0,01%"
"08.07.2022","99,65","99,65","99,65","99,65","0,05%"
"07.07.2022","99,60","99,60","99,60","99,60","-0,06%"
"06.07.2022","99,66","99,66","99,66","99,66","0,01%"
"05.07.2022","99,65","99,65","99,65","99,65","0,00%"
